id,DBN,SchoolName,AP Test Takers ,Total Exams Taken,Number of Exams with scores 3 4 or 5
105,ddUddd,Ullll Ulllll ll Ull lll Ullllll,dd,dd,l
106,ddUddd,Ullllllllllll Ulllll lll Ullllll Ulll,dd,dd,dd
107,ddUddd,UU/UU ddd UUUU & UUUUUUU UUUU,dd,dd,dd
108,ddUddd,UU UUU UUUUUUUU & UUUUUUUUUUU,dd,dd,dd
109,ddUddd,UUUUUUU UUUUUUUUUUU UUUU UUUU,dd,dd,dd
110,ddUddd,UUUUUUU UU UUU UUU UUUU,l,l,l
111,ddUddd,UUUUUUU UUUUUU UUUU UUU & UUUU,dd,dd,dd
112,ddUddd,UUUUU UU UU UUU & UUUU UUUUUUU,dd,dd,d
113,ddUddd,UUUUUU UUUUUUU UU,ddd,ddd,ddd
114,ddUddd,"Ullll Ulll Ullll Ulll Ulllll ll Ullll, Ull",dd,dd,d
115,ddUddd,UUUUU UU UU UUUUUUU,dddd,dddd,dddd
116,ddUddd,UUUU U UUUUUUU UU,dd,dd,dd
117,ddUddd,UUUUUU UUUU UU UUU UUU UUUUUUU,dd,ddd,dd
118,ddUddd,Ullll Ullllll Ulll Ulllll,dd,dd,l
119,ddUddd,Ullllllll Ulll Ulllll,l,l,l
120,ddUddd,UUUU UUUUUU UU UUUUUUUU UUUUUUU Ul Ulllll Ullllll,ddd,ddd,ddd
121,ddUddd,Ullll Ulllll Ulllllll Ulll Ulllll,l,l,l
122,ddUddd,Ullll Ulll Ulllll lll Ullllll lll Ullllllllllll Ul,dd,dd,l
123,ddUddd,Ullllll lll Ullllllllll lll Ulllllllllllllll: U Ul,dd,dd,l
124,ddUddd,Ulll Ulllll ll Ullllllll lll Ulllllllll,l,l,l
125,ddUddd,Ulllllllll Ullllllll lll Ulll lll Ullllll,dd,ddd,dd
126,ddUddd,Ullll Ulllllllll Ullllll,dd,dd,dd
127,ddUddd,UUUUUUUUUUU UUUUUUUU UU,dd,dd,d
128,ddUddd,UUUUU UU UUU UUU UUUUUU UUUU,dd,dd,d
129,ddUddd,Ull Ullll Ulll Ulllll,dd,dd,l
130,ddUddd,Ulllll Ullllllllll Ullllll,dd,dd,dd
131,ddUddd,"Ulllllllllll Ulll Ulllll, Ull",dd,dd,l
132,ddUddd,Ullll Ullll,l,l,l
133,ddUddd,Ulll Ullll Ullllll lll lll Ulllll,dd,dd,l
134,ddUddd,Ullll lll Ullllllll Ullllll,d,d,l
135,ddUddd,UUUUUU UUU UUUUU UUUUUUU UU,l,l,l
136,ddUddd,UUUUU UUUUUUU,dd,dd,l
137,ddUddd,UUUUUU UUUUUUU - UUUUUUUU/UUU,d,d,l
138,ddUddd,Ul Ullll U UlUlllll Ullllllll Ulllll ll lll Ulll,dd,dd,l
139,ddUddd,"Ulllllll Ullllllll Ulll Ulllll ll Ullllllllllll, U",dd,dd,l
140,ddUddd,UUUUUUU UUUUUU UUUUUU,dd,dd,l
141,ddUddd,UUUUUUUU UUUUUUUUU UU,dddd,dddd,dddd
142,ddUddd,"Ullll Ulllllll Ulllll lll Ull lll Ullllll, Ull",dd,dd,dd
143,ddUddd,UUUUU UUUUUUUUU UUUU UUUUUU,dd,dd,l
144,ddUddd,UUUUUUU UUUUUUU U.U.,dd,dd,l
145,ddUddd,Ullllll Ullllll Ulll Ulllll,dd,dd,dd
146,ddUddd,UUUUUU UUUUUUUUUUUU,dd,dd,l
147,ddUddd,UUUUUUUU UUUUUUUU UUUUUUU,ddd,ddd,dd
148,ddUddd,UUU ddd UUUU UUUUU UUUUUU,dd,dd,dd
149,ddUddd,Ullllllllll Ullllll,dd,dd,l
150,ddUddd,UUUUUUUU UUUU UUUUUU,dd,dd,l
151,ddUddd,UUUU UUUUUU UU UUUUU UUUUUUU,dd,dd,l
152,ddUddd,UU UU UUUUUUUUUU UUU UUUU,dd,ddd,dd
153,ddUddd,Ulllllll Ullllllllll Ulll Ulllll,dd,dd,d
154,ddUddd,Ulllllllllll Ulll Ulllll lll Ulllllllllll lll Ulll,dd,dd,l
155,ddUddd,Ulllllllllll Ullllllllll Ulllll,dd,dd,l
156,ddUddd,UU UUUUUU UUUUUUU,l,l,l
157,ddUddd,Ullllllll Ulllll lll Ulllllllll,dd,dd,l
158,ddUddd,UUUUUU UUU UUUUUUUUU.UUUUUUU,dd,dd,l
159,ddUddd,UUUUUU UUUU UUU UU UUUU UUUUUU,dd,dd,l
160,ddUddd,UUUUUUUUUUUU UUUU. UUUUUUU,dd,dd,l
161,ddUddd,UUUUUUUU U.U. UUU UUU UUUU,l,l,l
162,ddUddd,UUUU UUU UUUUU UU,dd,dd,l
163,ddUddd,Ullll Ulll Ulllll lll Ulllll Ullllll,dd,dd,l
164,ddUddd,Ullllll lll Ullllll Ullllllllll lll Ulllll Ullllll,dd,dd,d
